X,Y
1341.82124352332,2046.48445595855
1540.00777202073,2205.81088082902
1808.14248704663,2384.56735751295
2129,2578
1260.21502590674,1840.52590673575
1449,1966
1741,2166
2109,2370
1149,1518
1349,1646
1657,1834
2117,2058
1058.14248704663,1148.81606217617
1249,1222
1581,1342
2089,1518
2345,2294
2511.5103626943,2050.37046632124
2608.66062176166,1906.58808290155
2369,2070
2554.25647668394,1821.09585492228
2669,1662
2421,1730
2597.00259067358,1506.32901554404
2713.5829015544,1358.66062176166
2449,1254
2643.63471502591,1102.18393782383
2771.87305699482,1012.80569948187
1407.88341968912,1020.57772020725
1677,914
1881,850
1621.61398963731,1059.4378238342
1913,946
2111.25129533679,884.567357512953
1973,1118
2253,990
2409,922
