Point 	Area	Mean	Min	Max	X	Y
1	0	132	132	132	1192.000	1796.000
2	0	127	127	127	1303.500	1967.500
3	0	126	126	126	1439.500	2195.500
4	0	95	95	95	1631.500	2439.500
5	0	134	134	134	1155.500	1603.500
6	0	181	181	181	1259.500	1775.500
7	0	165	165	165	1403.500	1995.500
8	0	58	58	58	1603.500	2251.500
9	0	131	131	131	1111.500	1339.500
10	0	179	179	179	1203.500	1503.500
11	0	132	132	132	1347.500	1727.500
12	0	53	53	53	1571.500	1995.500
13	0	121	121	121	1083.500	1035.500
14	0	114	114	114	1167.500	1147.500
15	0	62	62	62	1311.500	1335.500
16	0	75	75	75	1535.500	1587.500
17	0	36	36	36	1919.500	2283.500
18	0	28	28	28	2171.500	2107.500
19	0	61	61	61	2363.500	1995.500
20	0	13	13	13	1951.500	2079.500
21	0	17	17	17	2223.500	1919.500
22	0	72	72	72	2443.500	1783.500
23	0	12	12	12	1983.500	1803.500
24	0	19	19	19	2307.500	1635.500
25	0	79	79	79	2519.500	1535.500
26	0	23	23	23	2015.500	1419.500
27	0	25	25	25	2379.500	1295.500
28	0	26	26	26	2611.500	1215.500
29	0	53	53	53	1403.500	955.500
30	0	134	134	134	1703.500	903.500
31	0	13	13	13	1927.500	867.500
32	0	74	74	74	1531.500	1051.500
33	0	130	130	130	1847.500	979.500
34	0	50	50	50	2055.500	943.500
35	0	43	43	43	1743.500	1199.500
36	0	34	34	34	2091.500	1107.500
37	0	30	30	30	2311.500	1059.500
