Index 	Area	Mean	Min	Max	X	Y
1	0	119	119	119	1328.000	2040.000
2	0	96	96	96	1531.500	2187.500
3	0	97	97	97	1795.500	2379.500
4	0	73	73	73	2131.500	2575.500
5	0	120	120	120	1247.500	1815.500
6	0	129	129	129	1447.500	1971.500
7	0	49	49	49	1743.500	2167.500
8	0	30	30	30	2115.500	2383.500
9	0	124	124	124	1143.500	1511.500
10	0	100	100	100	1347.500	1639.500
11	0	33	33	33	1655.500	1835.500
12	0	16	16	16	2115.500	2059.500
13	0	101	101	101	1055.500	1147.500
14	0	81	81	81	1243.500	1227.500
15	0	36	36	36	1571.500	1335.500
16	0	32	32	32	2087.500	1535.500
17	0	39	39	39	2351.500	2295.500
18	0	43	43	43	2519.500	2043.500
19	0	58	58	58	2623.500	1863.500
20	0	26	26	26	2375.500	2063.500
21	0	39	39	39	2559.500	1815.500
22	0	74	74	74	2671.500	1659.500
23	0	16	16	16	2419.500	1727.500
24	0	30	30	30	2615.500	1487.500
25	0	97	97	97	2723.500	1351.500
26	0	21	21	21	2443.500	1255.500
27	0	27	27	27	2647.500	1087.500
28	0	23	23	23	2763.500	995.500
29	0	35	35	35	1391.500	1003.500
30	0	48	48	48	1675.500	911.500
31	0	54	54	54	1875.500	847.500
32	0	51	51	51	1623.500	1047.500
33	0	72	72	72	1903.500	939.500
34	0	33	33	33	2091.500	875.500
35	0	31	31	31	1971.500	1115.500
36	0	35	35	35	2243.500	987.500
37	0	28	28	28	2399.500	915.500
