marker	X Y	Z
origin	0	0	1.7
xBegVFwr1	0	0	32.18
xBegVFrw1	0	0	62.66
xBegVFwr2	0	0	93.24
xBegVFTop	0	0	123.62
xInit	6	0	1.5
xrw1	36.48	0	1.5
xwr1	66.96	0	1.5
xrw2	97.44	0	1.5
xEnd	127.91	0	1.5
xEndVF	133.91	0	1.7
xEndVFwr1	133.91	0	32.18
xEndVFrw1	133.91	0	62.66
xEndVFwr2	133.91	0	93.24
xEndVFTop	133.91	0	123.62
yInit	0	6	1.5
yrw1	0	36.48	1.5
ywr1	0	66.96	1.5
yrw2	0	97.44	1.5
yEnd	0	127.91	1.5
yEndVF	0	133.91	1.7
xEndVFwr1	0	133.91	32.18
xEndVFrw1	0	133.91	62.66
xEndVFwr2	0	133.91	93.24
xEndVFTop	0	133.91	123.62
xFInit	6	133.91	1.5
xFrw1	36.48	133.91	1.5
xFwr1	66.96	133.91	1.5
xFrw2	97.44	133.91	1.5
xFEnd	127.91	133.91	1.5
